City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
502,kruisfontein,-34.0033,24.7314,12.07,74,43,1.81,ZA,1680315070
503,nampula,-15.1165,39.2666,19.67,99,93,2.09,MZ,1680315070
504,abu samrah,35.3029,37.1841,6.14,77,6,5.39,SY,1680315071
505,tete,-16.1564,33.5867,20.99,90,100,2.06,MZ,1680315071
506,santiago del estero,-27.7951,-64.2615,17.28,70,100,3.56,AR,1680315071
507,tunceli,39.1083,39.5471,0.17,61,0,1.07,TR,1680315072
508,trincomalee,8.5711,81.2335,26.28,82,0,3.83,LK,1680315011
509,lamu,-2.2717,40.902,26.12,79,81,2.69,KE,1680315072
510,chishtian mandi,29.8,72.8667,19.25,73,6,0.62,PK,1680315073
511,fairview,40.8126,-73.999,11.93,76,100,3.58,US,1680315073
512,mana,5.6592,-53.7767,24.54,87,98,3.75,GF,1680315073
513,velika plana,44.3339,21.0768,12.08,74,100,1.26,RS,1680315074
514,mehamn,71.0357,27.8492,-1.05,86,40,13.89,NO,1680315074
515,seydi,39.4816,62.9137,16.03,41,0,5.25,TM,1680315074
516,kodinsk,58.6881,99.1844,-12.18,77,71,2.66,RU,1680315074
517,san rafael del sur,11.8485,-86.4384,28.06,49,0,7.75,NI,1680315075
518,moscow,55.7522,37.6156,0.35,99,100,1.3,RU,1680314594
519,ust-kut,56.7938,105.7672,-9.58,77,100,3.25,RU,1680315075
520,masvingo,-20.0637,30.8277,14.37,96,12,1.17,ZW,1680315075
521,eyl,7.9803,49.8164,26.11,77,25,1.99,SO,1680315076
522,goundi,9.3627,17.366,31.62,29,86,1.93,TD,1680315076
523,labuan,5.2767,115.2417,26.45,81,100,4.3,MY,1680315076
524,coahuayana,18.7333,-103.6833,22.98,63,100,0.51,MX,1680315076
525,nara,34.6851,135.8049,20.54,31,1,1.98,JP,1680315077
526,kamenka,51.3223,42.7678,2.73,88,96,6.09,RU,1680315077
527,chengde,40.9725,117.9361,16.07,36,99,2.03,CN,1680315077
528,nouadhibou,20.931,-17.0347,27.99,32,0,5.14,MR,1680315078
529,ko samui,9.5357,99.9357,27.63,77,63,3.39,TH,1680314863
530,matagami,49.7502,-77.6328,-10.0,97,50,1.23,CA,1680315079
531,jumla,29.2747,82.1838,7.23,66,77,1.32,NP,1680315079
532,risod,19.9667,76.7833,24.08,30,10,5.45,IN,1680315080
533,tilichiki,60.4667,166.1,-0.18,89,100,5.7,RU,1680315080
534,san martin,-33.081,-68.4681,14.53,38,0,3.69,AR,1680315081
535,hualmay,-11.0964,-77.6139,24.63,83,99,3.78,PE,1680315081
536,laerdalsoyri,61.098,7.4816,-0.82,54,3,2.57,NO,1680315081
537,fairburn,33.5671,-84.581,22.79,68,40,3.6,US,1680315081
538,andros town,24.7,-77.7667,24.98,76,61,8.57,BS,1680315081
539,marsa matruh,31.3525,27.2453,14.11,69,0,3.05,EG,1680315082
540,mingshui,36.7167,117.5,18.74,37,4,4.17,CN,1680315082
541,tucurui,-3.7661,-49.6725,23.07,98,100,2.03,BR,1680315082
542,pocone,-16.2567,-56.6228,24.6,76,93,1.52,BR,1680315082
543,marana,32.4367,-111.2254,19.23,24,100,3.6,US,1680315083
544,hirara,24.8,125.2833,21.48,73,100,4.84,JP,1680314843
545,port blair,11.6667,92.75,27.43,70,17,1.35,IN,1680315084
546,hobyo,5.3505,48.5268,28.02,77,86,3.61,SO,1680315085
547,cockburn town,21.4612,-71.1419,25.18,71,0,10.46,TC,1680315052
548,kupang,-10.1667,123.5833,31.32,74,40,4.12,ID,1680315048
549,lovozero,68.005,35.0117,-16.16,84,47,2.53,RU,1680315086
550,grand gaube,-20.0064,57.6608,26.32,77,16,2.24,MU,1680315086
551,sioux lookout,50.1001,-91.917,-7.24,88,9,3.87,CA,1680315087
552,bauchi,10.5,10.0,23.07,17,100,2.51,NG,1680315087
553,raudeberg,61.9875,5.1352,1.37,68,0,2.0,NO,1680315087
554,buraydah,26.326,43.975,12.85,25,0,3.9,SA,1680315088
555,alekseyevsk,57.8406,108.3492,-10.04,80,100,2.9,RU,1680315088
556,bosaso,11.2842,49.1816,28.25,68,39,1.57,SO,1680315088
557,portland,45.5234,-122.6762,8.32,92,100,6.26,US,1680315076
558,gazli,40.1333,63.45,13.53,32,0,6.64,UZ,1680315089
559,benton harbor,42.1167,-86.4542,17.14,89,100,8.23,US,1680315089
